"category"	"values"
"Group 1"	8.87904870689557
"Group 1"	9.53964502103344
"Group 1"	13.1174166282982
"Group 1"	10.1410167828492
"Group 1"	10.2585754703219
"Group 1"	13.4301299737666
"Group 1"	10.9218324119784
"Group 1"	7.46987753078693
"Group 1"	8.62629429621295
"Group 1"	9.10867605980008
"Group 1"	12.4481635948789
"Group 1"	10.7196276541147
"Group 1"	10.8015429011881
"Group 1"	10.2213654318902
"Group 1"	8.88831773049185
"Group 1"	13.5738262736062
"Group 1"	10.9957009564585
"Group 1"	6.06676568674072
"Group 1"	11.4027118031274
"Group 1"	9.05441718454413
"Group 1"	7.86435258802631
"Group 1"	9.56405017068341
"Group 1"	7.94799110338552
"Group 1"	8.54221754141772
"Group 1"	8.74992146430149
"Group 1"	6.62661337851517
"Group 1"	11.6755740889891
"Group 1"	10.306746235673
"Group 1"	7.72372612597611
"Group 1"	12.5076298421399
"Group 1"	10.8529284429536
"Group 1"	9.40985703401546
"Group 1"	11.79025132209
"Group 1"	11.7562669750661
"Group 1"	11.643162163275
"Group 1"	11.3772805082002
"Group 1"	11.1078353070752
"Group 1"	9.87617657884656
"Group 1"	9.38807467252017
"Group 1"	9.23905799797523
"Group 1"	8.61058604215897
"Group 1"	9.5841654439608
"Group 1"	7.46920729686347
"Group 1"	14.337911930677
"Group 1"	12.41592399661
"Group 1"	7.7537828335933
"Group 1"	9.19423032940185
"Group 1"	9.06668929275356
"Group 1"	11.5599302366726
"Group 1"	9.83326186705634
"Group 1"	10.5066370279895
"Group 1"	9.94290648930259
"Group 1"	9.91425908541737
"Group 1"	12.7372045680289
"Group 1"	9.54845802868146
"Group 1"	13.0329412088591
"Group 1"	6.90249439153956
"Group 1"	11.1692274992721
"Group 1"	10.2477084876892
"Group 1"	10.4318831374879
"Group 1"	10.7592789655198
"Group 1"	8.99535309378139
"Group 1"	9.33358523266116
"Group 1"	7.96284923378582
"Group 1"	7.85641754704884
"Group 1"	10.6070572828085
"Group 1"	10.8964195572589
"Group 1"	10.106008453461
"Group 1"	11.8445349357595
"Group 1"	14.1001693712543
"Group 1"	9.01793766788693
"Group 1"	5.38166224871838
"Group 1"	12.0114770489245
"Group 1"	8.58159847483521
"Group 1"	8.62398276706528
"Group 1"	12.0511427393934
"Group 1"	9.43045398589798
"Group 1"	7.55856457549093
"Group 1"	10.3626069594983
"Group 1"	9.72221727512191
"Group 1"	10.0115283717998
"Group 1"	10.7705608022527
"Group 1"	9.25867993641518
"Group 1"	11.2887530970377
"Group 1"	9.5590268763625
"Group 1"	10.6635639278314
"Group 1"	12.1936780262987
"Group 1"	10.8703629816676
"Group 1"	9.34813682893755
"Group 1"	12.2976152369022
"Group 1"	11.9870077119242
"Group 1"	11.0967939190161
"Group 1"	10.4774634702229
"Group 1"	8.74418784792126
"Group 1"	12.72130489706
"Group 1"	8.79948082570575
"Group 1"	14.3746659860332
"Group 1"	13.0652212523704
"Group 1"	9.52859928179905
"Group 1"	7.94715819938644
"Group 2"	10.5791868726014
"Group 2"	12.5137674183131
"Group 2"	11.5066162430753
"Group 2"	11.3049148012045
"Group 2"	10.09676286547
"Group 2"	11.9099445503822
"Group 2"	10.4301910610858
"Group 2"	8.66411612682373
"Group 2"	11.2395469594245
"Group 2"	13.8379932181215
"Group 2"	10.8493060747832
"Group 2"	13.2159286444501
"Group 2"	8.76423458342167
"Group 2"	11.8888760689509
"Group 2"	13.0388144078869
"Group 2"	12.6023067243334
"Group 2"	12.2113523882979
"Group 2"	10.7185879833892
"Group 2"	10.3005913079328
"Group 2"	9.95174241879017
"Group 2"	12.2352931942003
"Group 2"	10.1050507716304
"Group 2"	11.0188851125987
"Group 2"	11.4878156156035
"Group 2"	15.6877240104644
"Group 2"	10.6961001966091
"Group 2"	12.4707731445697
"Group 2"	12.1559216991274
"Group 2"	10.0762867317397
"Group 2"	11.8573838277528
"Group 2"	14.8891017168467
"Group 2"	12.9030081061584
"Group 2"	12.0824658439859
"Group 2"	11.1550063353208
"Group 2"	7.89350555691897
"Group 2"	14.2626744268284
"Group 2"	9.07871985815036
"Group 2"	13.4798950217547
"Group 2"	15.818207138435
"Group 2"	9.1122136780564
"Group 2"	13.4035686707494
"Group 2"	11.4756050211951
"Group 2"	8.85571168170902
"Group 2"	8.9706646924365
"Group 2"	8.79692765285081
"Group 2"	10.9381869556594
"Group 2"	9.0764888300082
"Group 2"	13.3758335459517
"Group 2"	16.2002178810513
"Group 2"	9.42593904792964
"Group 2"	13.5754776949504
"Group 2"	13.5380844820018
"Group 2"	12.6644051579002
"Group 2"	9.98324678344598
"Group 2"	11.7610947867387
"Group 2"	11.4392093296595
"Group 2"	13.125979066441
"Group 2"	11.2551224877923
"Group 2"	13.9539467733712
"Group 2"	11.250838284466
"Group 2"	14.1054229311587
"Group 2"	9.90164598666787
"Group 2"	9.47968951048377
"Group 2"	18.4820798698848
"Group 2"	11.1662848236791
"Group 2"	12.5964551830814
"Group 2"	13.2731393480677
"Group 2"	11.0324387485825
"Group 2"	13.0337240886272
"Group 2"	12.7379290547702
"Group 2"	11.5692389847166
"Group 2"	12.1305860670506
