Length	Width	Height	Mass	Density	Group
5.93937617086937	3.63411017060887	1.7470108051835	-0.287187734460337	1.41390164390265	A
5.67842776031092	3.19487281717245	1.65950099698312	0.0194724144592366	1.49923479041523	A
4.65524696027576	2.4788620930747	0.959230725848428	-0.1879861532965	0.608287429622303	A
5.81160655777126	3.56598118621862	0.72863779419921	0.196076011914425	0.936344141329408	A
5.33933327005639	3.32886757160925	1.63931781996795	0.184415436892785	0.707550935880911	A
5.08474038125284	2.50900403602362	0.108155019791646	-0.155005318433331	0.450246542584888	A
4.75892886092138	2.93265367858992	2.18069848245355	0.172037040323798	0.737560079169181	A
6.41826247957589	4.11716211526404	1.91397611184627	0.427617137294634	0.70945625102223	A
6.01447488484953	3.508141575252	1.87381273126255	-0.108940297171119	1.46218245918769	A
5.78367016751368	3.28458711404571	1.43575091198411	0.682005564213137	1.46152915987042	A
5.10129870714997	2.55195833014825	1.05841980764406	-0.419031095089133	0.636251516699156	A
4.93121544486291	3.21051272408659	1.31535723497746	0.539407808386321	1.27036608766299	A
4.89736103722659	3.82722376072284	1.38619102588179	-0.0962533248896376	0.721142863329806	A
5.55625712882106	2.28120227330073	2.46217521889537	-0.215384262206506	1.11664229083662	A
5.38469651926842	3.3153310840624	2.10646207459105	0.918132793264467	1.29545484490782	A
4.56740962941585	2.49403483035045	0.575931380626645	-0.517124557665328	1.05654949544561	A
5.504491399668	2.75860561664751	1.21256065399594	0.103564276841804	0.907716604796219	A
6.60255564055251	4.20869088915115	2.31347895457965	0.924768148826372	1.22189008571645	A
5.58847091749937	2.81757746465004	1.03550801170147	-0.0204992344191835	0.366486922371312	A
6.67422513828316	3.38807164956341	1.03722147656295	0.205115737213842	0.486661847954326	A
5.91317580704452	3.61491228798896	2.13090147124337	0.804950619963629	1.32468117692559	A
4.71545317398982	3.5339058277485	2.66957384607448	0.223999827658384	1.16389305421558	A
6.41983457159577	3.87458160424618	1.4995203099894	0.190746740572971	1.31214091006315	A
5.93274174821393	3.09867038318304	2.46649108609851	-0.0590645079782103	1.43202003247392	A
5.49544222279637	3.21965930834587	1.75185495382173	1.13266330710289	1.80810971095172	A
6.69091124665753	4.33980155993355	1.64650978311629	0.743576885488137	1.2006570553996	A
4.94857530182415	2.70645979739049	1.28121493472052	0.27008230713648	0.866861511550853	A
5.01987918751108	2.95426562491931	2.03213960747214	0.447501004945567	1.06452971972849	A
6.24669977728761	3.87315396623137	2.03805033445944	0.137381155631172	1.22820043594105	A
4.70611933391192	2.68683094658552	1.00573223161393	0.238723154136967	0.588883411956072	A
5.01122919154408	3.20321613716808	0.911969269118616	0.339962582593193	1.7931063078033	A
6.01216253198964	2.9011303831751	1.62618039145685	0.204459993241212	1.29206329321378	A
4.78334145703655	2.92369263178785	1.21360605490604	0.12820015876148	0.96094165660261	A
5.14923582790598	3.05746468166593	0.784083894474431	0.231661098714485	0.544686561245874	A
4.935453440081	3.28010492647875	1.45045714814432	-0.18222987310554	0.159788018541563	A
